branches=3;steps=150;width=50;sectors=3;;;;
1;55;8,801870;8,801870;converged:;99;;
1;63;6,477144;6,477144;;;;
1;112;6,629529;6,629529;average price:;8,61407550505051;8,61407550505051;ИСТИНА
1;196;10,991595;10,991595;upper quartile:;10,077133;max:;27,615108
1;256;4,869411;4,869411;lower quartile:;6,356194;min:;1,922416
1;110;3,504935;3,504935;;;;
1;450;4,441517;4,441517;;;;
1;205;7,288523;7,288523;;;;
1;117;10,262472;10,262472;;;;
1;26;9,827578;9,827578;;;;
1;287;7,086182;7,086182;;;;
1;546;18,917951;18,917951;;;;
1;496;14,873919;14,873919;;;;
1;189;7,288067;7,288067;;;;
1;191;4,555799;4,555799;;;;
1;643;12,740243;12,740243;;;;
1;460;9,634734;9,634734;;;;
1;405;7,851959;7,851959;;;;
1;390;3,348329;3,348329;;;;
1;120;10,064983;10,064983;;;;
1;17;10,036787;10,036787;;;;
1;150;7,277325;7,277325;;;;
1;85;8,277011;8,277011;;;;
1;110;4,293926;4,293926;;;;
1;63;7,843991;7,843991;;;;
1;437;6,844972;6,844972;;;;
1;74;9,422155;9,422155;;;;
1;890;10,691994;10,691994;;;;
1;467;7,177054;7,177054;;;;
1;309;6,511307;6,511307;;;;
1;226;7,672826;7,672826;;;;
1;176;10,805558;10,805558;;;;
1;106;7,848812;7,848812;;;;
1;110;2,802925;2,802925;;;;
1;322;11,178816;11,178816;;;;
1;225;16,365833;16,365833;;;;
1;385;7,926873;7,926873;;;;
1;793;17,610966;17,610966;;;;
1;34;11,700287;11,700287;;;;
1;114;5,012816;5,012816;;;;
1;37;6,071565;6,071565;;;;
1;29;8,728276;8,728276;;;;
1;112;10,662102;10,662102;;;;
1;123;9,034448;9,034448;;;;
1;120;8,069039;8,069039;;;;
1;150;10,089283;10,089283;;;;
1;610;1,922416;1,922416;;;;
1;454;6,847153;6,847153;;;;
1;272;7,430883;7,430883;;;;
1;161;8,074536;8,074536;;;;
1;307;3,878588;3,878588;;;;
1;268;14,252121;14,252121;;;;
1;30;6,024967;6,024967;;;;
1;519;3,228629;3,228629;;;;
1;163;8,496442;8,496442;;;;
1;335;3,452147;3,452147;;;;
1;6;6,509447;6,509447;;;;
1;260;8,553551;8,553551;;;;
1;221;7,655118;7,655118;;;;
1;3;7,683664;7,683664;;;;
1;47;13,344046;13,344046;;;;
1;465;4,698528;4,698528;;;;
1;82;9,847556;9,847556;;;;
1;647;10,620479;10,620479;;;;
1;25;7,988554;7,988554;;;;
1;805;8,124275;8,124275;;;;
1;174;5,918160;5,918160;;;;
1;590;7,371263;7,371263;;;;
1;3;10,731591;10,731591;;;;
1;293;5,652808;5,652808;;;;
1;483;6,517679;6,517679;;;;
1;79;16,288725;16,288725;;;;
1;191;2,446271;2,446271;;;;
1;266;3,340257;3,340257;;;;
1;21;7,155464;7,155464;;;;
1;89;6,855084;6,855084;;;;
1;145;6,398268;6,398268;;;;
1;250;9,932760;9,932760;;;;
1;38;8,014131;8,014131;;;;
1;199;7,264359;7,264359;;;;
1;35;10,838010;10,838010;;;;
1;186;7,836562;7,836562;;;;
1;8;8,065329;8,065329;;;;
1;41;6,927245;6,927245;;;;
1;65;6,209373;6,209373;;;;
1;201;27,615108;27,615108;;;;
1;523;7,641726;7,641726;;;;
1;228;3,095284;3,095284;;;;
1;163;4,668473;4,668473;;;;
1;277;7,271538;7,271538;;;;
1;232;4,871059;4,871059;;;;
1;666;27,521843;27,521843;;;;
1;302;6,314120;6,314120;;;;
1;11;12,402333;12,402333;;;;
1;277;3,134632;3,134632;;;;
1;419;21,659286;21,659286;;;;
1;37;14,138778;14,138778;;;;
0;1000;13,860799;;;;;
1;245;9,822058;9,822058;;;;
1;397;10,827111;10,827111;;;;
Converged: 99;;;;;;;
Not converged: 1;;;;;;;